id,transport_type,name,lat,lon,operator,network,route_ref,shelter,bench,wheelchair,tactile_paving,covered,lit,departures_board,capacity,fee,payment,level,line,railway,amenity,rental,elevator,escalator,steps,entrance,accessibility_score,accessibility_level,accessibility_factors
"bus_('node', 7975015157)",bus,CSSM1,41.1981731,-8.6109848,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 7990276404)",bus,FLOS1,41.1882988,-8.6124426,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 7990276405)",bus,São Mamede (mercado),41.1910845,-8.6116788,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 7990276407)",bus,SMM1,41.1938885,-8.6112989,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8001461074)",bus,Catassol,41.2206637,-8.6142562,STCP,Andante,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8001461075)",bus,AAX2,41.2184424,-8.6140437,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8001461079)",bus,PRNT,41.2079107,-8.6136646,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8001461080)",bus,PMQ2,41.2056476,-8.61474,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8001461081)",bus,ASZ2,41.2002572,-8.6118243,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8001461082)",bus,CSSM2,41.1974696,-8.610945,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8001461083)",bus,SM2,41.1952058,-8.6111122,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8001461084)",bus,SMM2,41.1922996,-8.6114593,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8001483685)",bus,SMMM2,41.190501,-8.6118544,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8001483686)",bus,FLOS2,41.1877652,-8.6125802,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8001483687)",bus,TLHO2,41.1862812,-8.6129657,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969927)",bus,CONT2,41.1840113,-8.6638073,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969928)",bus,QTC2,41.1949006,-8.6865376,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969929)",bus,AEP1,41.1956006,-8.690328,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969930)",bus,EXP2,41.1981567,-8.6917111,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969931)",bus,REXP4,41.2009703,-8.6929334,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969932)",bus,LFC,41.2045618,-8.6886631,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969933)",bus,IKEA2,41.2094686,-8.6897171,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969934)",bus,MarShopping - IKEA,41.209468,-8.6897853,STCP,Andante,,yes,yes,,no,,,,,,,,,,,,,,,,73,Boa,acessibilidade não especificada; com abrigo contra chuva/vento; parada com nome identificado; rotas claramente identificadas; operadora identificada; com banco para sentar
"bus_('node', 8007969935)",bus,FTAV2,41.2110396,-8.6834167,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969936)",bus,Infanta Dona Mafalda,41.2132679,-8.6834659,STCP,Andante,,no,no,,no,,,,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969937)",bus,IDM2,41.2132978,-8.683397,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969938)",bus,GTN2,41.2149349,-8.6794493,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969939)",bus,Baldões,41.2168063,-8.6800179,STCP,Andante,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969941)",bus,BLD2,41.2178823,-8.67964,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969944)",bus,TTS2,41.2199617,-8.678941,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969945)",bus,FRRS2,41.2226745,-8.6787003,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969947)",bus,ROR2,41.225062,-8.6805168,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969948)",bus,FRXI9,41.2259347,-8.6812933,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
