paragem_nome,gid_DMT,gid_AMP,Situação,Designaç,Designa_1,nome_oficial,Local,Freguesia,Linhas_STC,Linhas_UNI,Zona_Andan,longitude,latitude
Avenida António Domingues dos Santos,445,0,Ativa,Sra. Da Hora (Metro),Sra. Da Hora (Metro),Sra. Da Hora (Metro),Avenida António Domingues dos Santos,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),506,N/A,PRT2,-8.654969598303312,41.18646572646264
Avenida António Domingues dos Santos,446,0,Ativa,Carriçal,Carriçal,Carriçal,Avenida António Domingues dos Santos,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),506,"5012, 5018",MTS1,-8.658041188535078,41.18630167687051
Avenida António Domingues dos Santos,447,0,Ativa,Carriçal,Carriçal,Carriçal,Avenida António Domingues dos Santos,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),506,5012,MTS1,-8.658747776852232,41.18617494050835
Estrada Circunvalação,449,0,Ativa,Ruela,Ruela,Ruela,Estrada Circunvalação,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),"205, 9M",5003 5021,PRT2,-8.652014631146983,41.17955068318086
Rua Senhor,450,0,Ativa,Srª da Penha,Srª da Penha,Srª da Penha,Rua Senhor,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),503,N/A,PRT2,-8.647435938104401,41.185008929043605
Rua Senhor,451,0,Ativa,R. Senhor,R. Senhor,R. Senhor,Rua Senhor,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),503,N/A,PRT2,-8.647904926186238,41.186143115526434
Rua Real de Cima,453,0,Ativa,Real de Cima,Real de Cima,Real de Cima,Rua Real de Cima,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),N/A,"5008, 5103",MTS1,-8.669570622523425,41.17847247149114
Rua Real de Cima,454,0,Ativa,Real de Cima,Real de Cima,Real de Cima,Rua Real de Cima,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),N/A,"5007, 5103",MTS1,-8.669436720633827,41.17837987175106
Rua Bernardo Santareno,455,0,Ativa,Biquinha (Pavilhão Municipal),Biquinha (Pavilhão Municipal),Biquinha (Pavilhão Municipal),Rua Bernardo Santareno,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5007,MTS1,-8.672711771208599,41.17687810992688
Rua Vitório Falcão,457,0,Ativa,R. Vitório Falcão,R. Vitório Falcão,R. Vitório Falcão,Rua Vitório Falcão,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5007,MTS1,-8.672330976269087,41.175236394104225
Rua Vitório Falcão,456,0,Ativa,R. Vitório Falcão,R. Vitório Falcão,R. Vitório Falcão,Rua Vitório Falcão,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5008,MTS1,-8.672496405300429,41.17522311161724
Rua Vitório Falcão,459,0,Ativa,Biquinha (Bairro),Biquinha (Bairro),Biquinha (Bairro),Rua Vitório Falcão,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5007,MTS1,-8.674997260257948,41.17389365438183
Avenida D. Maria II,461,0,Ativa,Bairro da Biquinha,Bairro da Biquinha,Bairro da Biquinha,Avenida D. Maria II,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),501,5103,MTS1,-8.674434307655634,41.175272460551376
Rua António Carneiro,462,0,Ativa,António Carneiro,António Carneiro,António Carneiro,Rua António Carneiro,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),501,"5008, 5103",MTS1,-8.675735356840319,41.177192741856494
Rua Sousa Aroso,463,0,Ativa,E. Sec. G. Zarco,E. Sec. G. Zarco,E. Sec. G. Zarco,Rua Sousa Aroso,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),501,N/A,MTS1,-8.67737308121992,41.17735442589636
Rua D. Nuno Álvares Pereira,464,0,Ativa,Escola Sec. J. G. Zarco,Escola Sec. J. G. Zarco,Escola Sec. J. G. Zarco,Rua D. Nuno Álvares Pereira,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5007, 5103",MTS1,-8.67725493945586,41.17768123340978
Rua Augusto Gomes,465,0,Ativa,Matosinhos (Tribunal),Matosinhos (Tribunal),Matosinhos (Tribunal),Rua Augusto Gomes,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5001, 5008, 5101, 5102, 5104",MTS1,-8.677526306000718,41.18451767279381
Rua Augusto Gomes,466,0,Ativa,Matosinhos (Tribunal),Matosinhos (Tribunal),Matosinhos (Tribunal),Rua Augusto Gomes,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5001, 5101, 5102, 5104",MTS1,-8.677622229604912,41.18443889819405
Avenida Dr. Antunes Guimarães,469,0,Ativa,Fresca,Fresca,Fresca,Avenida Dr. Antunes Guimarães,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5017, 5102",MTS2,-8.699554657955533,41.18744259491784
Rua Dr. Albano Sá Lima,470,0,Ativa,Corpo Santo,Corpo Santo,Corpo Santo,Rua Dr. Albano Sá Lima,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5002, 5017, 5102",MTS2,-8.69931001175461,41.19184925227742
Avenida Combatentes da Grande Guerra,471,0,Ativa,Piscina das Marés,Piscina das Marés,Piscina das Marés,Avenida Combatentes da Grande Guerra,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,N/A,MTS2,-8.70528424701932,41.19195567090128
Avenida Dr. Antunes Guimarães,473,0,Ativa,Quinta da Conceição,Quinta da Conceição,Quinta da Conceição,Avenida Dr. Antunes Guimarães,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),"507, 601","5001, 5002, 5003, 5012, 5013, 5014, 5016, 5017, 5018, 5101, 5102, 5103",MTS2,-8.686676929557565,41.194753861252245
Avenida Dr. Antunes Guimarães,472,0,Ativa,Quinta da Conceição,Quinta da Conceição,Quinta da Conceição,Avenida Dr. Antunes Guimarães,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),"507, 601","5001, 5002, 5003, 5012, 5013, 5014, 5016, 5017, 5018, 5101, 5102, 5103",MTS2,-8.686592509156041,41.19512234550091
Avenida Dr. Antunes Guimarães,474,0,Ativa,Cais 6,Cais 6,Cais 6,Avenida Dr. Antunes Guimarães,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5001, 5002, 5003, 5012, 5013, 5014, 5016, 5017, 5018, 5101, 5102, 5103",MTS2,-8.689117279031594,41.193793915760025
Avenida Liberdade,475,0,Ativa,Piscinas de Leça,Piscina das Marés,Piscinas de Leça,Avenida Liberdade,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5017, 5102",MTS2,-8.706209883831256,41.19197448766524
Avenida Liberdade,476,0,Ativa,Marginal de Leça,Marginal de Leça,Marginal de Leça,Avenida Liberdade,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5017,MTS2,-8.709457143698739,41.19705777702237
Avenida Mérignac,477,0,Ativa,Hosp. Pedro Hispano (metro),Hosp. Pedro Hispano (metro),Hosp. Pedro Hispano (metro),Avenida Mérignac,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),N/A,"5001, 5008, 5010, 5012, 5015, 5017, 5101, 5102, 5103, 5104",MTS1,-8.667155322164868,41.180534121426064
Rua Corgo,522,0,Ativa,Corgo,Corgo,Corgo,Rua Corgo,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,5004,MTS3,-8.717714195301141,41.25198980021213
Rua Antela,523,0,Ativa,Lavra (CTT),Lavra (CTT),Lavra (CTT),Rua Antela,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5101",MTS3,-8.717075526993373,41.26016555941926
Rua Sargaceiras,629,0,Ativa,Angeiras (Sargaceiras),Angeiras (Sargaceiras),Angeiras (Sargaceiras),Rua Sargaceiras,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,5018,MTS3,-8.723688825633301,41.26204126498351
None,524,0,Inativa,,,,,,,,,-8.718229278978374,41.25561743502046
None,526,0,Inativa,,,,,,,,,-8.71834557164306,41.25576698493362
None,527,0,Inativa,,,,,,,,,-8.721440123180102,41.26015147233612
None,528,0,Inativa,,,,,,,,,-8.721200007165335,41.260215049330604
Rua Padre Manuel Domingos da Silva Lopes,529,0,Ativa,Junta Freguesia Lavra,Junta Freguesia Lavra,Junta Freguesia Lavra,Rua Padre Manuel Domingos da Silva Lopes,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5018, 5019",MTS3,-8.716903094902733,41.26057503482358
Rua Padre Manuel Domingos da Silva Lopes,530,0,Ativa,Junta Freguesia Lavra,Junta Freguesia Lavra,Junta Freguesia Lavra,Rua Padre Manuel Domingos da Silva Lopes,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5018, 5019",MTS3,-8.716447659062487,41.2606211188269
Rua Padre Manuel Domingos da Silva Lopes,531,0,Ativa,Tv. Da Cruz,Tv. Da Cruz,Tv. Da Cruz,Rua Padre Manuel Domingos da Silva Lopes,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5018, 5019",MTS3,-8.708982887644911,41.26194585301564
Rua Padre Manuel Domingos da Silva Lopes,532,0,Ativa,Tv. Da Cruz,Tv. Da Cruz,Tv. Da Cruz,Rua Padre Manuel Domingos da Silva Lopes,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5018, 5019",MTS3,-8.708799961638864,41.261878155206205
Rua Cruz,533,0,Ativa,R. da Cruz,R. da Cruz,R. da Cruz,Rua Cruz,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,5018,MTS3,-8.708055019800135,41.25896013162596
Rua Cruz,534,0,Ativa,R. da Cruz 3,R. da Cruz 3,R. da Cruz 3,Rua Cruz,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,5018,MTS3,-8.708193144413778,41.258888327750704
Rua Cruz,535,0,Ativa,R. da Cruz (Antela),R. da Cruz (Antela),R. da Cruz (Antela),Rua Cruz,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5018, 5020",MTS3,-8.708629852256205,41.256820450020385
Rua Cruz,536,0,Ativa,R. da Cruz (Antela),R. da Cruz (Antela),R. da Cruz (Antela),Rua Cruz,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5018, 5020",MTS3,-8.7086034808668,41.25654946978792
Rua Antela,537,0,Ativa,R. de Antela,R. de Antela,R. de Antela,Rua Antela,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,5020,,-8.710795031623542,41.256843813436305
Rua Antela,538,0,Ativa,R. de Antela,R. de Antela,R. de Antela,Rua Antela,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,5020,,-8.711540354215954,41.25673685563601
None,539,0,Inativa,,,,,,,,,-8.713760565570126,41.256023106865555
None,540,0,Inativa,,,,,,,,,-8.71303573758525,41.25652781707669
Rua Cruz,541,0,Ativa,Unidade de Saúde de Lavra,Unidade de Saúde de Lavra,Unidade de Saúde de Lavra,Rua Cruz,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5004, 5018, 5020, 5101",MTS3,-8.705502520817426,41.252542126445164
Rua Cruz,542,0,Ativa,EB José Domingues dos Santos,EB José Domingues dos Santos,EB José Domingues dos Santos,Rua Cruz,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5004, 5018, 5020, 5101",MTS3,-8.702399510060182,41.2501190811183
Rua Cruz,543,0,Ativa,EB José Domingues dos Santos,EB José Domingues dos Santos,EB José Domingues dos Santos,Rua Cruz,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5004, 5018, 5020, 5101",MTS3,-8.70213846039331,41.25013823856817
Rua Dr. José Domingues dos Santos,544,0,Ativa,Barreiro,Barreiro,Barreiro,Rua Dr. José Domingues dos Santos,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5018, 5020",MTS3,-8.700850554323274,41.246171122072056
Rua Dr. José Domingues dos Santos,545,0,Ativa,Barreiro,Barreiro,Barreiro,Rua Dr. José Domingues dos Santos,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5018, 5020",MTS3,-8.700725729986605,41.24620032580624
Rua Silva Aroso,546,0,Ativa,Monte do Corgo,Monte do Corgo,Monte do Corgo,Rua Silva Aroso,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,5016,MTS2,-8.698591799685918,41.235749337970695
Rua Dr. José Domingues dos Santos,547,0,Ativa,Fontainhas,Fontainhas,Fontainhas,Rua Dr. José Domingues dos Santos,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5004, 5016",VCD8,-8.694846558283512,41.25122741265177
Rua Rosas,548,0,Ativa,Bairro das Flores,Bairro das Flores,Bairro das Flores,Rua Rosas,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5014, 5018",MTS2,-8.70652573222647,41.23273757201436
Rua Rosas,549,0,Ativa,R. das Camélias,R. das Camélias,R. das Camélias,Rua Rosas,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5014, 5018",MTS2,-8.704954325140795,41.23132484347743
Rua Agudela,550,0,Ativa,R. Custódio Pereira Ramos,R. Custódio Pereira Ramos,R. Custódio Pereira Ramos,Rua Agudela,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5004, 5020, 5101",MTS3,-8.723034759968662,41.24686356989904
Rua Agudela,551,0,Ativa,Agudela,Agudela,Agudela,Rua Agudela,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5004, 5020, 5101",MTS3,-8.722556252173765,41.2436346435305
Rua Armando Vaz,552,0,Ativa,Hospital Boa Nova,Hospital Boa Nova,Hospital Boa Nova,Rua Armando Vaz,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,5009,MTS2,-8.709693716594316,41.22109881529757
Rua General Humberto Delgado,553,0,Ativa,Igreja de Leça (H. Delgado),Igreja de Leça (H. Delgado),Igreja de Leça (H. Delgado),Rua General Humberto Delgado,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,N/A,MTS2,-8.698161115456017,41.193909242595126
Rua General Humberto Delgado,554,0,Ativa,EB 2/3 Leça da Palmeira,EB 2/3 Leça da Palmeira,EB 2/3 Leça da Palmeira,Rua General Humberto Delgado,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5002, 5102",MTS2,-8.698967438950216,41.197078024704815
Rua Humberto Cruz,555,0,Ativa,EB 2/3 Leça da Palmeira,EB 2/3 Leça da Palmeira,EB 2/3 Leça da Palmeira,Rua Humberto Cruz,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5002, 5102",MTS2,-8.699062661354388,41.19764488146199
Rua Engenheiro Fernando Pinto de Oliveira,556,0,Ativa,Humberto Cruz,Humberto Cruz,Humberto Cruz,Rua Engenheiro Fernando Pinto de Oliveira,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5102",MTS2,-8.699493882764699,41.19866783686319
Rua Engenheiro Fernando Pinto de Oliveira,557,0,Ativa,Humberto Cruz,Humberto Cruz,Humberto Cruz,Rua Engenheiro Fernando Pinto de Oliveira,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5102",MTS2,-8.69908199493067,41.198857117211105
Rua Engenheiro Fernando Pinto de Oliveira,558,0,Ativa,Barros Nobre,Barros Nobre,Barros Nobre,Rua Engenheiro Fernando Pinto de Oliveira,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5002, 5102",MTS2,-8.697228070538117,41.1992727388194
Rua Engenheiro Fernando Pinto de Oliveira,559,0,Ativa,Barros Nobre,Barros Nobre,Barros Nobre,Rua Engenheiro Fernando Pinto de Oliveira,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5002, 5102",MTS2,-8.697588134619934,41.19927347680749
Avenida Dr. Fernando Aroso,560,0,Ativa,Fernando Aroso (Supermercado),C. Saúde Leça Palmeira,Fernando Aroso (Supermercado),Avenida Dr. Fernando Aroso,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5003, 5012, 5013, 5014, 5016, 5018, 5101, 5102, 5103",MTS2,-8.696545248377323,41.19985118929416
Avenida Dr. Fernando Aroso,561,0,Ativa,Av. Dr. Fernando Aroso,Amorosa,Av. Dr. Fernando Aroso,Avenida Dr. Fernando Aroso,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5003, 5012, 5013, 5014, 5016, 5018, 5101, 5102, 5103",MTS2,-8.69636973881346,41.20061145750708
Avenida Dr. Fernando Aroso,562,0,Ativa,Tv. Da Agra,Tv. Da Agra,Tv. Da Agra,Avenida Dr. Fernando Aroso,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5003, 5012, 5013, 5014, 5016, 5018, 5101, 5103",MTS2,-8.696508459652026,41.19792026948277
Avenida Dr. Fernando Aroso,563,0,Ativa,Tv. Da Agra,Tv. Da Agra,Tv. Da Agra,Avenida Dr. Fernando Aroso,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5003, 5012, 5013, 5014, 5016, 5018, 5101, 5103",MTS2,-8.696716253800115,41.1966015924832
Avenida Dr. Fernando Aroso,564,0,Ativa,Igreja de Leça,Igreja de Leça,Igreja de Leça,Avenida Dr. Fernando Aroso,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5003, 5012, 5013, 5014, 5016, 5018, 5101, 5103",MTS2,-8.696871181113469,41.19378547413126
Avenida Dr. Fernando Aroso,565,0,Ativa,Igreja de Leça,Igreja de Leça,Igreja de Leça,Avenida Dr. Fernando Aroso,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5003, 5012, 5013, 5014, 5016, 5018, 5101, 5103",MTS2,-8.696671237976481,41.193640651014846
Avenida Combatentes da Grande Guerra,566,0,Ativa,Igreja de Leça (CTT),Igreja de Leça (CTT),Igreja de Leça (CTT),Avenida Combatentes da Grande Guerra,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507(?),5001,MTS2,-8.69742160498751,41.19313060065427
Avenida Combatentes da Grande Guerra,567,0,Ativa,Igreja de Leça,Igreja de Leça,Igreja de Leça,Avenida Combatentes da Grande Guerra,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5001, 5002, 5017, 5102",MTS2,-8.698217664448428,41.19322258828033
Rua Hintze Ribeiro,568,0,Ativa,Oliveira Lessa,Oliveira Lessa,Oliveira Lessa,Rua Hintze Ribeiro,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5002, 5017, 5102",MTS2,-8.703988051979726,41.190503186455956
Rua Heróis de África,569,0,Ativa,Oliveira Lessa,Oliveira Lessa,Oliveira Lessa,Rua Heróis de África,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5002, 5017, 5102",MTS2,-8.703646406472632,41.19105942042792
Rua Heróis de África,570,0,Ativa,Dois Amigos,Dois Amigos,Dois Amigos,Rua Heróis de África,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5002, 5017, 5102",MTS2,-8.701602790595917,41.191123248461174
Rua Hintze Ribeiro,571,0,Ativa,Dois Amigos,Dois Amigos,Dois Amigos,Rua Hintze Ribeiro,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5002, 5017, 5102",MTS2,-8.701429664044042,41.19059440922037
Rua Dr. José Domingues de Oliveira,572,0,Ativa,Corpo Santo,Corpo Santo,Corpo Santo,Rua Dr. José Domingues de Oliveira,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5002, 5017, 5102",MTS2,-8.699580235275283,41.19143661983398
Avenida Dr. Antunes Guimarães,573,0,Ativa,APDL,APDL,APDL,Avenida Dr. Antunes Guimarães,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5017, 5102",MTS2,-8.703266844492571,41.187966742072014
Avenida Dr. Antunes Guimarães,574,0,Ativa,Fresca,Fresca,Fresca,Avenida Dr. Antunes Guimarães,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5017, 5102",MTS2,-8.699408725249532,41.187321817783456
Avenida Dr. Antunes Guimarães,575,0,Ativa,Fonte Vila,Fonte Vila,Fonte Vila,Avenida Dr. Antunes Guimarães,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5017, 5102",MTS2,-8.697656275554074,41.188502127889784
Avenida Dr. Antunes Guimarães,576,0,Ativa,Fonte Vila,Fonte Vila,Fonte Vila,Avenida Dr. Antunes Guimarães,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5017, 5102",MTS2,-8.697762276837189,41.18865312777898
Avenida Dr. Antunes Guimarães,577,0,Ativa,Ponte Móvel,Ponte Móvel,Ponte Móvel,Avenida Dr. Antunes Guimarães,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5017, 5102",MTS2,-8.695818406842047,41.189934717889784
Avenida Dr. Antunes Guimarães,578,0,Ativa,Ponte Móvel,Ponte Móvel,Ponte Móvel,Avenida Dr. Antunes Guimarães,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5017, 5102",MTS2,-8.695595268769491,41.18984170328614
Avenida Dr. Antunes Guimarães,579,0,Ativa,Quinta de Santiago,Qta. De Santiago,Quinta de Santiago,Avenida Dr. Antunes Guimarães,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5001, 5002, 5003, 5012, 5013, 5014, 5016, 5017, 5018, 5101, 5102, 5103",MTS2,-8.692754697110908,41.19118080403454
Avenida Dr. Antunes Guimarães,580,0,Ativa,Quinta de Santiago,Quinta de Santiago,Quinta de Santiago,Avenida Dr. Antunes Guimarães,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5001, 5002, 5003, 5012, 5013, 5014, 5016, 5017, 5018, 5101, 5102, 5103",MTS2,-8.692331824226319,41.191660407235204
Avenida Dr. Antunes Guimarães,581,0,Ativa,Cais 6,Cais 6,Cais 6,Avenida Dr. Antunes Guimarães,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5001, 5002, 5003, 5012, 5013, 5014, 5016, 5017, 5018, 5101, 5102, 5103",MTS2,-8.688894080434858,41.19355310676497
Rua Alberto Laura Moreira Júnior,582,0,Inativa,Leça da Palmeira,Leça da Palmeira,Leça da Palmeira,Rua Alberto Laura Moreira Júnior,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,N/A,MTS2,-8.696977077451562,41.198433830425415
Rua Joaquim Alves da Silva,583,0,Ativa,Tv. Castanheira,Tv. Castanheira,Tv. Castanheira,Rua Joaquim Alves da Silva,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5014, 5016, 5018",MTS2,-8.69562807097165,41.22336621450979
Rua Joaquim Alves da Silva,584,0,Ativa,Joaquim Alves da Silva,Joaquim Alves da Silva,Joaquim Alves da Silva,Rua Joaquim Alves da Silva,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5014, 5016, 5018",MTS2,-8.694546539552514,41.21962136210035
Rua Progresso,585,0,Ativa,R. do Progresso (Kartódromo),R. do Progresso (Kartódromo),R. do Progresso (Kartódromo),Rua Progresso,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5014, 5016",MTS2,-8.695262901919644,41.217690608851655
Rua Ribeiras,586,0,Ativa,Rua Ribeiras,Rua Ribeiras,Rua Ribeiras,Rua Ribeiras,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5012, 5101",MTS2,-8.691670352823266,41.225220817044594
Rua Justino Marques,587,0,Ativa,Justino Marques,Justino Marques,Justino Marques,Rua Justino Marques,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5004, 5009, 5012, 5101",MTS2,-8.681234114832376,41.22708868808095
Rua Oriental,588,0,Ativa,31 de Janeiro (Norte),31 de Janeiro,31 de Janeiro (Norte),Rua Oriental,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",508,"5004, 5009, 5101",MTS2,-8.684179000932568,41.22586352907247
Rua Cidres,589,0,Ativa,R. Oriental (Freixieiro),R. Oriental,R. Oriental (Freixieiro),Rua Cidres,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",601,"5004, 5013, 5102",MTS2,-8.680180037860488,41.22455583959909
Rua Cidres,590,0,Ativa,Farrapas,Farrapas,Farrapas,Rua Cidres,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",601,"5004, 5013, 5102",MTS2,-8.678791238267696,41.222689930169125
Rua Cidres,591,0,Ativa,Farrapas (Tv. Trás),Tv. Trás,Farrapas (Tv. Trás),Rua Cidres,"Santa Cruz do Bispo (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",601,"5004, 5013, 5102",MTS2,-8.678995944363777,41.21996378523874
Rua Cidres,592,0,Ativa,Baldões,Baldões,Baldões,Rua Cidres,"Santa Cruz do Bispo (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",601,"5004, 5013, 5102",MTS2,-8.680000071304022,41.216822516754725
Rua Cidres,593,0,Ativa,Gatanhal,Gatanhal,Gatanhal,Rua Cidres,"Santa Cruz do Bispo (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",601,"5004, 5013, 5102",MTS2,-8.679513280174689,41.21490654933723
Rua Gonçalves Zarco,594,0,Ativa,S. Cruz do Bispo,Sta. Cruz Bispo,S. Cruz do Bispo,Rua Gonçalves Zarco,"Santa Cruz do Bispo (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",508,"5004, 5009, 5013, 5102",MTS2,-8.67460693707198,41.217053924040286
Rua Gonçalves Zarco,595,0,Ativa,S. Cruz do Bispo,Sta. Cruz Bispo,S. Cruz do Bispo,Rua Gonçalves Zarco,"Santa Cruz do Bispo (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",508,"5004, 5009, 5013, 5102",MTS2,-8.674887730975513,41.21663211331655
Rua Gonçalves Zarco,596,0,Ativa,Mirão,Mirão,Mirão,Rua Gonçalves Zarco,"Santa Cruz do Bispo (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",508,"5004, 5009, 5013, 5102",MTS2,-8.676366472888732,41.21084782405484
Rua Gonçalves Zarco,597,0,Ativa,Portela,Portela,Portela,Rua Gonçalves Zarco,"Santa Cruz do Bispo (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",508,"5013, 5102",MTS2,-8.678897591405468,41.210004691323064
