paragem_nome,gid_DMT,gid_AMP,Situação,Designaç,Designa_1,nome_oficial,Local,Freguesia,Linhas_STC,Linhas_UNI,Zona_Andan,longitude,latitude
Rua Sol Poente,253,0,Ativa,Sol Poente,Sol Poente,Sol Poente,Rua Sol Poente,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,N/A,MTS2,-8.702382179107003,41.19899599380745
Rua Sol Poente,254,0,Ativa,Igreja de Leça,Igreja de Leça,Igreja de Leça,Rua Sol Poente,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,5017,MTS2,-8.698924592587545,41.19343064031451
Rua Mainça,256,0,Ativa,Moinhos,Moinhos,Moinhos,Rua Mainça,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),505,N/A,MAI1,-8.618825347619897,41.19385828962968
Rua Veloso Salgado,515,0,Ativa,Leça Futebol Clube,Leça F. Clube,Leça Futebol Clube,Rua Veloso Salgado,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),"507, 508, 601","5002, 5003, 5013, 5018, 5101, 5102, 5103",MTS2,-8.688518005119489,41.20450332802078
Rua Veloso Salgado,517,0,Ativa,Leça Futebol Clube,Leça F. Clube,Leça Futebol Clube,Rua Veloso Salgado,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),"507, 508, 601","5002, 5003, 5013, 5018, 5101, 5102, 5103",MTS2,-8.688635121655903,41.20462521833482
Rua Veloso Salgado,516,0,Ativa,Francisco Maia,Francisco Maia,Francisco Maia,Rua Veloso Salgado,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),"507, 508, 601",N/A,MTS2,-8.692003725402595,41.2043500973144
Rua Veloso Salgado,518,0,Ativa,Francisco Maia,Francisco Maia,Francisco Maia,Rua Veloso Salgado,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),"507, 508, 601","5002, 5003, 5013, 5018, 5101, 5102, 5103",MTS2,-8.692110514505934,41.20444392111426
Rua Veloso Salgado,257,0,Ativa,Centro Desportivo de Leça,Centro Desportivo de Leça,Centro Desportivo de Leça,Rua Veloso Salgado,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5002, 5003, 5013, 5018, 5101, 5102, 5103",MTS2,-8.692778700328935,41.20351356760769
Rua Mainça,519,0,Ativa,Mainça,Mainça,Mainça,Rua Mainça,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)",505,N/A,MAI1,-8.619938871388227,41.19739675088574
Rua Mainça,520,0,Ativa,Mainça,Mainça,Mainça,Rua Mainça,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)",505,N/A,MAI1,-8.61981152716011,41.19732295877093
Rua Mainça,258,0,Ativa,Arroteia,Arroteia,Arroteia,Rua Mainça,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)",505,N/A,MAI1,-8.622036370811147,41.1997820655758
Rua Mainça,259,0,Ativa,Arroteia,Arroteia,Arroteia,Rua Mainça,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)",505,N/A,MAI1,-8.621941323442886,41.199640955111654
Rua Mainça,260,0,Ativa,Queirãos,Queirãos,Queirãos,Rua Mainça,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)",505,5024,MAI1,-8.622967240228334,41.2031297993217
Rua Mainça,261,0,Ativa,Queirãos,Queirãos,Queirãos,Rua Mainça,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)",505,N/A,MAI1,-8.623091977853871,41.20327507036009
Rua Funde de Vila,266,0,Ativa,Funde de Vila (Viaduto),Funde de Vila (Viaduto),Funde de Vila (Viaduto),Rua Funde de Vila,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5007,MTS1,-8.671400986609658,41.18656255113594
Rua Funde de Vila,521,0,Ativa,Funde de Vila (Viaduto),Funde de Vila (Viaduto),Funde de Vila (Viaduto),Rua Funde de Vila,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5008,MTS1,-8.671483683495248,41.18678301190311
Rua Funde de Vila,267,0,Ativa,Srª da Guia,Srª da Guia,Srª da Guia,Rua Funde de Vila,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5008,MTS1,-8.671674242725596,41.18523392505007
Rua Funde de Vila,268,0,Ativa,Srª da Guia,Srª da Guia,Srª da Guia,Rua Funde de Vila,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),N/A,5007,MTS1,-8.671608939425203,41.18503849780592
Rua Dr. António Teixeira de Melo,269,0,Ativa,Rua do Bombeiro Voluntário,Rua do Bombeiro Voluntário,Rua do Bombeiro Voluntário,Rua Dr. António Teixeira de Melo,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5008,MTS1,-8.672676937226147,41.183719732456964
Rua Dr. António Teixeira de Melo,270,0,Ativa,Rua do Bombeiro Voluntário,Rua do Bombeiro Voluntário,Rua do Bombeiro Voluntário,Rua Dr. António Teixeira de Melo,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5007,MTS1,-8.672733371106267,41.1835643744966
