lat,lon,school,hospital,clinic,pharmacy,supermarket,bakery,cafe,restaurant,park,transport,school_pct,hospital_pct,clinic_pct,pharmacy_pct,supermarket_pct,bakery_pct,cafe_pct,restaurant_pct,park_pct,transport_pct,accessibility_score
41.17328980439063,-8.678180553486884,4,0,11,1,7,0,24,12,348,84,73.70358514724713,45.49455825864276,97.04705505761844,62.788092189500645,92.61363636363636,27.26472471190781,93.68597951344431,82.48239436619718,96.99103713188221,68.3018565941101,74.03729193341869
41.17328646730651,-8.676988405577758,4,1,11,1,7,0,19,7,443,80,73.70358514724713,94.15012804097312,97.04705505761844,62.788092189500645,92.61363636363636,27.26472471190781,91.42925736235595,74.71991037131882,98.71158770806659,64.90076824583866,77.73287451984636
41.173283117883685,-8.675796257869386,5,1,9,2,8,0,18,6,581,91,80.03361075544174,94.15012804097312,96.12676056338029,81.25800256081946,95.15845070422534,27.26472471190781,91.07714468629962,72.08706786171575,99.3437900128041,73.66357234314981,81.01632522407171
41.17327975612219,-8.674604110362507,5,1,8,2,9,0,18,5,778,94,80.03361075544174,94.15012804097312,95.69462227912933,81.25800256081946,97.10307298335468,27.26472471190781,91.07714468629962,68.90204865556979,99.69590268886044,75.6802176696543,81.08594750320103
41.17422328005494,-8.690097798329385,7,0,9,3,6,2,42,72,202,68,90.10883482714469,45.49455825864276,96.12676056338029,87.71606914212549,89.77272727272727,80.60979513444302,96.86299615877081,96.31882202304737,93.66997439180538,52.864916773367476,82.95454545454544
41.17422006625672,-8.688905632123486,7,0,12,3,6,2,43,71,209,68,90.10883482714469,45.49455825864276,97.5192061459667,87.71606914212549,89.77272727272727,80.60979513444302,96.99903969270166,96.2467989756722,93.77400768245838,52.864916773367476,83.11059539052494
41.17421684011936,-8.68771346611094,6,0,12,3,7,2,41,73,218,76,85.59539052496798,45.49455825864276,97.5192061459667,87.71606914212549,92.61363636363636,80.60979513444302,96.75096030729834,96.398847631242,93.95006402048655,61.23559539052496,83.78841229193343
41.17421360164287,-8.686521300292492,6,0,12,4,9,2,40,70,214,90,85.59539052496798,45.49455825864276,97.5192061459667,92.54961587708067,97.10307298335468,80.60979513444302,96.66293213828425,96.19078104993598,93.88604353393086,72.99135723431498,85.86027528809218
41.17421035082727,-8.68532913466888,5,0,14,4,10,1,42,71,225,102,80.03361075544174,45.49455825864276,98.18341869398208,92.54961587708067,98.57554417413571,64.7887323943662,96.86299615877081,96.2467989756722,94.16613316261203,80.40973111395647,84.73111395646606
41.174207087672535,-8.684136969240846,7,0,15,3,9,1,42,70,220,101,90.10883482714469,45.49455825864276,98.51152368758002,87.71606914212549,97.10307298335468,64.7887323943662,96.86299615877081,96.19078104993598,94.03809218950065,79.84154929577466,85.06562099871958
41.174203812178696,-8.68294480400913,6,0,14,3,9,1,39,62,229,97,85.59539052496798,45.49455825864276,98.18341869398208,87.71606914212549,97.10307298335468,64.7887323943662,96.5669014084507,95.85467349551855,94.24615877080666,77.64084507042254,84.31898207426376
41.17420052434576,-8.681752638974473,5,0,13,3,8,1,36,58,256,101,80.03361075544174,45.49455825864276,97.91133162612036,87.71606914212549,95.15845070422534,64.7887323943662,96.32682458386684,95.26248399487837,94.90236875800257,79.84154929577466,83.74359795134444
41.17419722417372,-8.680560474137618,5,0,13,3,9,1,34,53,275,102,80.03361075544174,45.49455825864276,97.91133162612036,87.71606914212549,97.10307298335468,64.7887323943662,96.11875800256082,94.06209987195902,95.35051216389245,80.40973111395647,83.898847631242
41.17419391166258,-8.679368309499303,3,0,14,2,9,1,32,38,274,104,67.78969270166453,45.49455825864276,98.18341869398208,81.25800256081946,97.10307298335468,64.7887323943662,95.87868117797696,93.02176696542894,95.32650448143406,81.46606914212549,82.03104993597951
