lat,lon,school,hospital,clinic,pharmacy,supermarket,bakery,cafe,restaurant,park,transport
41.17600537743058,-8.682936117203989,8,0,15,4,11,2,49,80,247,115
41.1760020893904,-8.681743919507259,7,0,15,4,10,2,49,73,250,129
41.17599878901032,-8.68055172200835,6,0,15,4,10,2,39,61,254,131
41.175995476290375,-8.679359524708003,5,0,14,3,10,2,34,42,269,118
41.17599215123059,-8.678167327606957,5,1,14,2,10,0,31,27,280,122
41.17598881383091,-8.676975130705955,5,1,13,2,10,0,31,25,299,124
41.1759854640914,-8.67578293400574,6,1,11,2,10,0,26,16,350,120
41.17598210201203,-8.67459073750705,6,2,12,3,10,1,20,10,505,120
41.17597872759282,-8.673398541210625,5,2,8,3,10,1,22,6,673,117
41.17597534083378,-8.672206345117209,6,2,8,3,8,2,20,4,838,131
41.17597194173492,-8.67101414922754,7,2,6,1,7,2,22,4,980,154
41.176963236240574,-8.70439165900995,0,0,0,0,0,0,0,0,0,1
41.17695709186411,-8.7020072242682,0,0,0,0,0,0,2,2,5,3
41.176935197825365,-8.693661708545836,10,0,10,3,3,7,51,115,233,74
41.1769320207442,-8.692469492769826,10,0,12,3,4,7,57,117,259,79
41.17692883132271,-8.691277277184975,12,0,16,3,5,8,60,120,282,93
41.17692562956092,-8.690085061792029,12,0,16,3,7,9,63,123,302,103
41.17692241545883,-8.688892846591726,12,0,18,4,8,7,60,117,314,111
41.17691918901642,-8.687700631584807,12,0,20,4,8,8,65,118,317,111
41.17691595023372,-8.686508416772014,12,0,18,5,8,8,67,114,313,115
41.17691269911074,-8.68531620215409,13,0,18,5,9,7,68,103,305,117
41.17690943564747,-8.684123987731773,12,0,18,5,10,6,61,99,285,121
41.17690615984393,-8.682931773505805,12,0,18,6,11,2,56,89,282,125
41.17690287170011,-8.681739559476927,8,0,18,6,11,2,53,79,277,139
41.176899571216026,-8.680547345645879,8,0,16,4,11,2,43,63,280,144
41.17689625839167,-8.679355132013404,4,0,15,3,10,2,38,42,277,132
41.17689293322708,-8.678162918580242,6,1,14,2,10,1,34,28,286,132
41.17688959572223,-8.676970705347133,6,1,13,2,10,1,33,26,298,132
41.176886245877135,-8.67577849231482,5,1,12,2,10,1,26,16,322,130
41.17688288369182,-8.674586279484044,7,2,12,2,9,1,23,12,397,141
41.176879509166255,-8.673394066855543,8,2,9,3,9,2,24,10,516,139
41.17687612230047,-8.672201854430062,8,2,7,3,8,2,20,5,662,135
41.17687272309447,-8.671009642208341,9,2,6,2,7,2,20,5,837,149
41.17686931154826,-8.669817430191117,9,2,7,2,6,2,20,4,976,165
41.17686588766184,-8.668625218379136,9,2,7,1,7,3,20,3,1104,167
41.17787916577288,-8.710348780830927,0,0,0,0,0,0,0,0,0,1
41.177867074084965,-8.70557984308834,0,0,0,0,0,0,0,0,0,1
41.17785168180782,-8.699618675033616,0,0,2,0,1,2,16,44,51,13
41.17783914585273,-8.694849743946444,10,0,9,3,4,9,50,125,248,66
41.17783598101216,-8.693657511647022,11,0,12,3,4,9,53,125,273,74
41.17783280383087,-8.692465279538029,12,0,15,3,5,10,63,126,300,85
41.177829614308855,-8.691273047620209,12,0,16,3,7,10,68,130,328,97
41.177826412446166,-8.690080815894301,12,0,18,3,7,10,71,132,337,107
41.17782319824276,-8.688888584361049,12,0,19,5,9,10,74,132,349,121
41.17781997169868,-8.687696353021192,12,0,21,6,8,10,73,130,361,129
41.17781673281391,-8.686504121875469,13,0,20,6,8,9,73,124,360,131
41.17781348158846,-8.685311890924625,15,0,18,6,8,8,72,115,356,129
41.17781021802234,-8.684119660169397,14,0,18,7,9,7,70,106,351,129
41.17780694211554,-8.68292742961053,14,0,18,7,12,6,64,97,322,141
41.17780365386809,-8.681735199248761,13,0,19,7,12,3,53,89,294,158
41.17780035328,-8.680542969084836,9,0,18,6,11,2,47,69,270,158
41.17779704035123,-8.679350739119492,6,0,15,5,9,1,42,44,269,142
41.17779371508184,-8.678158509353471,6,1,12,2,10,1,35,28,268,148
41.17779037747181,-8.676966279787516,8,1,13,2,10,2,34,25,287,136
41.177787027521134,-8.675774050422364,7,1,12,2,10,2,25,18,295,142
41.177783665229846,-8.67458182125876,7,2,11,2,10,2,24,17,333,148
41.17778029059794,-8.673389592297443,9,2,9,2,8,2,22,10,393,145
41.17777690362541,-8.672197363539157,10,2,6,3,6,2,21,5,500,134
41.17777350431228,-8.67100513498464,9,2,5,3,5,2,18,6,640,139
41.17777009265855,-8.669812906634633,9,3,5,2,7,2,18,4,777,152
41.17776666866422,-8.668620678489876,9,3,5,1,6,2,20,3,901,164
41.17774936358388,-8.662659540870816,6,3,5,5,15,3,26,51,1106,133
41.1777458655461,-8.661467313973134,7,3,5,6,16,4,24,55,1133,142
41.17774235516778,-8.660275087285891,7,3,5,5,15,4,24,57,1142,149
41.17773883244892,-8.65908286080983,10,2,4,5,12,4,23,57,1106,151
41.1777352973895,-8.657890634545689,8,3,4,5,11,5,21,58,1006,155
41.17773174998957,-8.65669840849421,8,3,4,5,9,3,19,59,914,141
41.178779950178985,-8.710344812414794,0,0,0,0,0,0,0,0,0,1
41.17877694567349,-8.709152561373356,0,0,0,0,0,0,0,0,0,1
41.17874934977188,-8.698422310225617,6,0,4,2,2,6,31,93,116,37
41.17874308159679,-8.696037812013778,10,0,7,4,4,10,48,127,233,61
41.17873992899757,-8.694845563190926,12,0,11,4,4,13,56,138,296,78
41.17873676405724,-8.693653314557773,12,0,11,4,4,14,59,146,344,80
41.17873358677582,-8.692461066115062,12,0,15,4,5,14,65,144,372,91
41.178730397153295,-8.69126881786353,12,0,16,3,7,13,70,147,385,99
41.17872719518968,-8.690076569803924,14,0,18,4,7,12,76,142,388,123
41.17872398088498,-8.68888432193698,14,0,19,6,9,12,79,141,395,125
41.17872075423921,-8.68769207426344,15,0,20,6,9,11,78,136,401,131
41.17871751525236,-8.686499826784047,16,0,21,6,9,11,79,127,404,139
41.17871426392444,-8.68530757949954,16,0,21,7,9,9,74,119,417,143
41.17871100025547,-8.684115332410663,17,0,18,7,11,8,72,109,390,135
41.17870772424544,-8.682923085518155,15,0,18,7,11,7,66,99,358,144
41.178704435894346,-8.681730838822757,16,0,19,7,11,5,58,91,319,164
41.17870113520223,-8.68053859232521,8,0,17,6,11,2,52,67,286,154
41.178697822169056,-8.679346346026257,6,0,14,5,9,1,42,47,245,164
41.17869449679487,-8.678154099926637,6,0,12,4,10,2,38,33,243,154
41.178691159079634,-8.676961854027091,7,1,12,3,10,2,33,26,269,144
41.178687809023394,-8.675769608328363,8,1,13,2,9,2,27,18,261,140
41.178684446626136,-8.674577362831192,10,2,10,2,8,3,29,17,265,156
41.178681071887866,-8.673385117536316,9,2,9,2,7,2,23,10,294,142
41.17867768480859,-8.672192872444482,10,2,6,2,5,2,21,6,373,146
41.178674285388325,-8.671000627556428,9,2,5,3,5,2,21,6,451,143
41.17867087362707,-8.669808382872894,9,3,5,2,6,2,18,4,569,153
41.17866744952483,-8.668616138394624,9,3,5,2,9,2,16,3,661,161
41.17866401308162,-8.667423894122358,10,3,5,1,9,2,12,3,743,169
41.1786501438991,-8.662654919108148,7,3,4,4,14,3,23,50,911,148
41.17864664575107,-8.661462675877017,6,3,5,3,13,2,25,52,941,153
41.17864313526212,-8.660270432856333,10,3,5,3,12,4,25,56,944,169
41.17863961243223,-8.659078190046843,10,3,4,4,12,3,23,57,875,156
41.178636077261416,-8.657885947449282,10,3,5,4,11,3,18,57,818,158
41.17863252974968,-8.656693705064399,11,3,4,5,7,2,18,58,746,131
41.17862896989702,-8.655501462892927,11,2,5,6,8,2,18,60,648,147
41.17862539770344,-8.65430922093561,12,1,5,6,7,2,17,60,547,143
41.17968073444344,-8.710340843818594,0,0,0,0,0,0,0,0,0,1
41.17965013307191,-8.698418178283877,6,0,4,2,3,9,32,95,147,47
41.17964700505635,-8.697225912749348,7,0,5,3,3,10,43,115,221,59
41.17964386469926,-8.696033647403045,10,0,9,4,4,13,53,127,290,69
41.1796407120007,-8.694841382245711,12,0,10,4,5,15,58,138,341,73
41.17963754696062,-8.693649117278087,12,0,11,4,5,15,65,149,373,85
41.17963436957906,-8.692456852500912,14,0,13,5,6,16,70,159,389,93
41.17963117985602,-8.69126458791493,15,0,16,6,7,16,76,167,395,105
41.17962797779149,-8.69007232352088,15,0,17,7,7,17,80,157,406,125
41.17962476338549,-8.688880059319503,15,0,19,7,8,13,81,149,414,129
41.17962153663802,-8.687687795311541,17,0,20,6,9,13,83,143,427,131
